Α/Α,Module,Τίτλος κανόνα,Κατηγορία,Κατάσταση,Είδος,Άρθρο,Τίτλος άρθρου στο πρότυπο,Παράγραφοι,Πλήθος ¶,Δείγμα κειμένου
85,M24a,Άδεια χρήσης Λογισμικού,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,19,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶345–345,1,"Άδεια Χρήσης Λογισμικού: Χορηγείται στην ΕΤΕ μη αποκλειστική, διηνεκής, ανέκκλητη άδεια χρήσης του Λογισμικού (συμπεριλαμβανομένων των εκδόσεων, αναβαθμίσεων, επεκτάσεων …"
86,M24a,Άδεια χρήσης Λογισμικού,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,10,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶230–230,1,"Η Εταιρεία βεβαιώνει και εγγυάται προς την Τράπεζα ότι τυγχάνει νόμιμος κάτοχος και χρήστης όλων των απαιτούμενων από το νόμο εξουσιοδοτήσεων, αδειών και συμβάσεων χρήσης…"
87,M24b,Escrow πηγαίου κώδικα,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,19,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶348–348,1,Το Λογισμικό που θα παραδοθεί από τον Ανάδοχο στο πλαίσιο της Σύμβασης (συμπεριλαμβανομένων ενημερώσεων ή νέων εκδόσεων) είναι ιδιοκτησία της κατασκευάστριας εταιρείας ….…
88,M25,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΑΠΟΡΡΗΤΟ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,20,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΚΥΡΙΟΤΗΤΑ ΠΛΗΡΟΦΟΡΙΩΝ,¶349–401,53,"Η κυριότητα οποιωνδήποτε τεχνικών ή επιχειρηματικών πληροφοριών ή δεδομένων, γραπτών ή προφορικών, σε μορφή γραφικών ή σε άλλη ενσώματη μορφή (αποκαλούμενων όλων εφεξής «…"
89,M25,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΑΠΟΡΡΗΤΟ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,11,ΕΧΕΜΥΘΕΙΑ - ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ,¶240–255,16,"Η Εταιρεία αναγνωρίζει ότι λόγω της φύσης του Έργου μπορεί να παρέχεται σε αυτήν πρόσβαση σε πληροφορίες ή στοιχεία της Τράπεζας με εμπιστευτικό και απόρρητο χαρακτήρα, τ…"
90,M25,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΑΠΟΡΡΗΤΟ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,11,ΕΧΕΜΥΘΕΙΑ - ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ,¶179–197,19,Η Εταιρεία αναγνωρίζει ότι η φύση των εργασιών της Σύμβασης παρέχει πρόσβαση σε πληροφορίες με εμπιστευτικό και απόρρητο χαρακτήρα οι οποίες της αποκαλύπτονται ή της κοιν…
91,M25a,Εσωτερικές πληροφορίες / κατάχρηση αγοράς,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,20,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΚΥΡΙΟΤΗΤΑ ΠΛΗΡΟΦΟΡΙΩΝ,¶366–366,1,"Για τους σκοπούς της παρούσας παραγράφου, με τον όρο Εσωτερικές Πληροφορίες νοούνται ορισμένης φύσεως πληροφορίες που δεν έχουν καταστεί δημοσίως γνωστές και αφορούν, άμε…"
92,M25a,Εσωτερικές πληροφορίες / κατάχρηση αγοράς,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,11,ΕΧΕΜΥΘΕΙΑ - ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ,¶243–243,1,"Για τους σκοπούς αυτού του εδαφίου, Εμπιστευτική Πληροφορία θεωρείται και η παρούσα σύμβαση, τα Παραρτήματα και οι τυχόν τροποποιήσεις αυτής, καθώς και οποιαδήποτε εσωτερ…"
93,M26,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ (GDPR),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,20,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΚΥΡΙΟΤΗΤΑ ΠΛΗΡΟΦΟΡΙΩΝ,¶369–369,1,"Στο πλαίσιο της παρούσας Σύμβασης και καθ’ όλη τη διάρκεια ισχύος της, κατά την παροχή υπηρεσιών σύμφωνα με τα αναφερόμενα στην παρούσα, κατ’ εντολή και για λογαριασμό τη…"
94,M26,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ (GDPR),B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,12,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ,¶256–285,30,"Στο πλαίσιο της Σύμβασης και καθ’ όλη τη διάρκεια ισχύος της, κατά την παροχή υπηρεσιών σύμφωνα με τα αναφερόμενα στην παρούσα, κατ’ εντολή και για λογαριασμό της Τράπεζα…"
95,M26a,Διαβίβαση δεδομένων εκτός ΕΟΖ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,20,ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ – ΚΥΡΙΟΤΗΤΑ ΠΛΗΡΟΦΟΡΙΩΝ,¶392–392,1,Η Εταιρεία οφείλει να μη διαβιβάζει Προσωπικά Δεδομένα εκτός της Ευρωπαϊκής Οικονομικής Ζώνης (ΕΟΖ) εκτός και αν η Τράπεζα συναινεί γραπτώς πριν από τέτοια διαβίβαση και …
96,M26a,Διαβίβαση δεδομένων εκτός ΕΟΖ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,12,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ,¶281–281,1,Η Εταιρεία οφείλει να μη διαβιβάζει Προσωπικά Δεδομένα εκτός της Ευρωπαϊκής Οικονομικής Ζώνης (ΕΟΖ) εκτός και αν η Τράπεζα συναινεί γραπτώς πριν από τέτοια διαβίβαση και …
97,M26b,Υπεργολάβοι επεξεργασίας (subprocessors),A,ΛΕΙΠΕΙ,,,,,,
98,M26b,Υπεργολάβοι επεξεργασίας (subprocessors),B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,12,ΕΠΕΞΕΡΓΑΣΙΑ ΠΡΟΣΩΠΙΚΩΝ ΔΕΔΟΜΕΝΩΝ,¶277–277,1,"Στο πλαίσιο της παρούσας, η Εταιρεία συμφωνείται να χρησιμοποιήσει περιοριστικά τους κάτωθι υπεργολάβους:"
99,M27,ΠΡΟΤΥΠΑ ΑΣΦΑΛΕΙΑΣ ΠΛΗΡΟΦΟΡΙΩΝ,A,ΛΕΙΠΕΙ,,,,,,
100,M27,ΠΡΟΤΥΠΑ ΑΣΦΑΛΕΙΑΣ ΠΛΗΡΟΦΟΡΙΩΝ,B,ΜΕΡΙΚΩΣ,ΜΕΡΙΚΗ ΚΑΛΥΨΗ,11,ΕΧΕΜΥΘΕΙΑ - ΕΜΠΙΣΤΕΥΤΙΚΟΤΗΤΑ,,1,Η Εταιρεία δεσμεύεται από το επαγγελματικό απόρρητο και υποχρεούται να εξασφαλίζει ότι όλες οι Εμπιστευτικές Πληροφορίες που λαμβάνει από την Τράπεζα στο πλαίσιο του Έργο…
